ProductID,ProductName,Category,Subcategory,Brand,UnitCost,ListPrice,ActiveFlag
1,Tools Product 00001,Tools,Accessories,WorkMate,59.11,80.26,Y
2,Building Materials Product 00002,Building Materials,Insulation,UrbanFix,24.41,45.69,Y
3,Plumbing Product 00003,Plumbing,Pipes,CedarMax,410.97,772.89,Y
4,Electrical Product 00004,Electrical,Lighting,CedarMax,221.04,466.38,Y
5,Paint Product 00005,Paint,Supplies,UrbanFix,421.0,915.66,Y
6,Outdoor Product 00006,Outdoor,Patio,NorthPeak,250.76,342.88,Y
7,Hardware Product 00007,Hardware,Locks,ProLine,408.59,789.34,Y
8,Automotive Product 00008,Automotive,Fluids,ProLine,122.34,202.42,Y
9,Home Product 00009,Home,Safety,IronWorks,366.85,749.6,Y
10,Seasonal Product 00010,Seasonal,Holiday,UrbanFix,319.31,557.65,Y
11,Tools Product 00011,Tools,Hand Tools,FieldStone,305.99,591.84,Y
12,Building Materials Product 00012,Building Materials,Lumber,WorkMate,148.8,254.01,Y
13,Plumbing Product 00013,Plumbing,Water Heaters,WorkMate,331.23,586.37,Y
14,Electrical Product 00014,Electrical,Switches,MaplePro,321.0,630.19,Y
15,Paint Product 00015,Paint,Exterior Paint,ProLine,231.08,289.28,Y
16,Outdoor Product 00016,Outdoor,Lawn & Garden,MaplePro,305.74,600.63,Y
17,Hardware Product 00017,Hardware,Adhesives,NorthPeak,18.6,30.79,Y
18,Automotive Product 00018,Automotive,Towing,NorthPeak,250.99,303.45,Y
19,Home Product 00019,Home,Cleaning,WorkMate,350.06,542.02,N
20,Seasonal Product 00020,Seasonal,Heating,NorthPeak,34.5,53.14,Y
21,Tools Product 00021,Tools,Accessories,IronWorks,57.08,117.36,Y
22,Building Materials Product 00022,Building Materials,Insulation,WorkMate,101.01,207.04,Y
23,Plumbing Product 00023,Plumbing,Pipes,WorkMate,85.06,180.06,Y
24,Electrical Product 00024,Electrical,Lighting,ProLine,204.78,374.68,Y
25,Paint Product 00025,Paint,Supplies,CedarMax,173.91,255.43,Y
26,Outdoor Product 00026,Outdoor,Patio,CedarMax,382.49,475.73,Y
27,Hardware Product 00027,Hardware,Locks,CedarMax,33.04,61.74,Y
28,Automotive Product 00028,Automotive,Fluids,HomeEdge,274.3,499.49,Y
29,Home Product 00029,Home,Safety,FieldStone,355.12,422.83,Y
30,Seasonal Product 00030,Seasonal,Holiday,CedarMax,299.56,473.06,Y
31,Tools Product 00031,Tools,Hand Tools,NorthPeak,16.67,29.91,Y
32,Building Materials Product 00032,Building Materials,Lumber,NorthPeak,328.24,523.49,Y
33,Plumbing Product 00033,Plumbing,Water Heaters,EverBuild,154.39,220.51,Y
34,Electrical Product 00034,Electrical,Switches,NorthPeak,253.25,445.7,Y
35,Paint Product 00035,Paint,Exterior Paint,EverBuild,152.85,261.42,Y
36,Outdoor Product 00036,Outdoor,Lawn & Garden,FieldStone,273.97,482.39,Y
37,Hardware Product 00037,Hardware,Adhesives,WorkMate,421.67,512.07,Y
38,Automotive Product 00038,Automotive,Towing,IronWorks,116.12,218.14,Y
39,Home Product 00039,Home,Cleaning,TrueCraft,295.23,541.44,Y
40,Seasonal Product 00040,Seasonal,Heating,EverBuild,94.44,172.67,Y
41,Tools Product 00041,Tools,Accessories,MaplePro,69.42,110.12,Y
42,Building Materials Product 00042,Building Materials,Insulation,IronWorks,406.42,839.44,Y
43,Plumbing Product 00043,Plumbing,Pipes,UrbanFix,40.99,76.85,Y
44,Electrical Product 00044,Electrical,Lighting,MaplePro,174.21,353.96,Y
45,Paint Product 00045,Paint,Supplies,NorthPeak,124.39,156.49,Y
46,Outdoor Product 00046,Outdoor,Patio,PrimeGear,389.1,589.6,Y
47,Hardware Product 00047,Hardware,Locks,UrbanFix,11.11,24.8,Y
48,Automotive Product 00048,Automotive,Fluids,MaplePro,195.17,377.93,Y
49,Home Product 00049,Home,Safety,WorkMate,397.39,780.71,Y
50,Seasonal Product 00050,Seasonal,Holiday,ProLine,127.87,198.78,Y
51,Tools Product 00051,Tools,Hand Tools,MaplePro,214.99,411.49,Y
52,Building Materials Product 00052,Building Materials,Lumber,PrimeGear,363.8,623.56,Y
53,Plumbing Product 00053,Plumbing,Water Heaters,CedarMax,124.79,249.41,Y
54,Electrical Product 00054,Electrical,Switches,MaplePro,269.93,472.19,Y
55,Paint Product 00055,Paint,Exterior Paint,HomeEdge,232.9,517.36,Y
56,Outdoor Product 00056,Outdoor,Lawn & Garden,PrimeGear,52.48,108.28,Y
57,Hardware Product 00057,Hardware,Adhesives,TrueCraft,194.88,420.3,Y
58,Automotive Product 00058,Automotive,Towing,PrimeGear,419.39,779.3,Y
59,Home Product 00059,Home,Cleaning,WorkMate,190.19,368.16,Y
60,Seasonal Product 00060,Seasonal,Heating,FieldStone,204.3,278.35,Y
61,Tools Product 00061,Tools,Accessories,TrueCraft,154.57,269.15,Y
62,Building Materials Product 00062,Building Materials,Insulation,ProLine,60.81,122.7,Y
63,Plumbing Product 00063,Plumbing,Pipes,IronWorks,203.53,266.87,Y
64,Electrical Product 00064,Electrical,Lighting,TrueCraft,278.96,340.07,Y
65,Paint Product 00065,Paint,Supplies,CedarMax,380.69,586.05,Y
66,Outdoor Product 00066,Outdoor,Patio,HomeEdge,108.06,221.07,N
67,Hardware Product 00067,Hardware,Locks,UrbanFix,55.83,89.5,Y
68,Automotive Product 00068,Automotive,Fluids,CedarMax,339.08,419.6,Y
69,Home Product 00069,Home,Safety,EverBuild,282.35,570.17,Y
70,Seasonal Product 00070,Seasonal,Holiday,NorthPeak,273.1,564.59,Y
71,Tools Product 00071,Tools,Hand Tools,TrueCraft,197.29,317.38,Y
72,Building Materials Product 00072,Building Materials,Lumber,CedarMax,282.62,398.89,Y
73,Plumbing Product 00073,Plumbing,Water Heaters,ProLine,238.59,461.59,Y
74,Electrical Product 00074,Electrical,Switches,ProLine,347.2,774.66,Y
75,Paint Product 00075,Paint,Exterior Paint,UrbanFix,386.76,613.73,Y
76,Outdoor Product 00076,Outdoor,Lawn & Garden,TrueCraft,310.07,539.3,Y
77,Hardware Product 00077,Hardware,Adhesives,ProLine,71.69,95.39,Y
78,Automotive Product 00078,Automotive,Towing,FieldStone,97.29,163.09,Y
79,Home Product 00079,Home,Cleaning,TrueCraft,293.23,525.68,Y
80,Seasonal Product 00080,Seasonal,Heating,MaplePro,23.41,28.72,Y
81,Tools Product 00081,Tools,Accessories,PrimeGear,201.59,427.51,Y
82,Building Materials Product 00082,Building Materials,Insulation,WorkMate,27.73,53.07,Y
83,Plumbing Product 00083,Plumbing,Pipes,PrimeGear,260.31,352.15,Y
84,Electrical Product 00084,Electrical,Lighting,CedarMax,369.06,575.63,Y
85,Paint Product 00085,Paint,Supplies,UrbanFix,75.15,117.19,Y
86,Outdoor Product 00086,Outdoor,Patio,MaplePro,14.75,29.5,Y
87,Hardware Product 00087,Hardware,Locks,TrueCraft,434.69,941.75,Y
88,Automotive Product 00088,Automotive,Fluids,MaplePro,76.15,164.03,Y
89,Home Product 00089,Home,Safety,CedarMax,317.38,610.86,Y
90,Seasonal Product 00090,Seasonal,Holiday,IronWorks,224.69,393.56,Y
91,Tools Product 00091,Tools,Hand Tools,PrimeGear,78.91,125.81,Y
92,Building Materials Product 00092,Building Materials,Lumber,NorthPeak,15.43,29.65,Y
93,Plumbing Product 00093,Plumbing,Water Heaters,IronWorks,101.6,141.32,Y
94,Electrical Product 00094,Electrical,Switches,NorthPeak,140.43,245.37,Y
95,Paint Product 00095,Paint,Exterior Paint,WorkMate,414.04,921.49,Y
96,Outdoor Product 00096,Outdoor,Lawn & Garden,PrimeGear,274.45,611.07,Y
97,Hardware Product 00097,Hardware,Adhesives,PrimeGear,129.05,196.26,Y
98,Automotive Product 00098,Automotive,Towing,EverBuild,299.39,477.78,Y
99,Home Product 00099,Home,Cleaning,MaplePro,371.32,544.76,Y
100,Seasonal Product 00100,Seasonal,Heating,IronWorks,429.98,723.03,Y
101,Tools Product 00101,Tools,Accessories,MaplePro,211.19,350.57,Y
102,Building Materials Product 00102,Building Materials,Insulation,EverBuild,183.12,359.82,Y
103,Plumbing Product 00103,Plumbing,Pipes,WorkMate,39.82,69.58,Y
104,Electrical Product 00104,Electrical,Lighting,ProLine,348.31,742.99,Y
105,Paint Product 00105,Paint,Supplies,FieldStone,136.32,216.79,Y
106,Outdoor Product 00106,Outdoor,Patio,HomeEdge,333.67,488.99,Y
107,Hardware Product 00107,Hardware,Locks,CedarMax,367.66,513.18,Y
108,Automotive Product 00108,Automotive,Fluids,WorkMate,40.75,53.1,Y
109,Home Product 00109,Home,Safety,FieldStone,137.47,270.71,Y
110,Seasonal Product 00110,Seasonal,Holiday,NorthPeak,29.38,60.7,Y
111,Tools Product 00111,Tools,Hand Tools,EverBuild,228.86,476.62,Y
112,Building Materials Product 00112,Building Materials,Lumber,UrbanFix,44.68,77.25,Y
113,Plumbing Product 00113,Plumbing,Water Heaters,UrbanFix,237.43,432.0,Y
114,Electrical Product 00114,Electrical,Switches,EverBuild,22.9,46.41,Y
115,Paint Product 00115,Paint,Exterior Paint,EverBuild,195.57,329.55,Y
116,Outdoor Product 00116,Outdoor,Lawn & Garden,EverBuild,105.73,228.43,Y
117,Hardware Product 00117,Hardware,Adhesives,ProLine,122.66,253.09,Y
118,Automotive Product 00118,Automotive,Towing,TrueCraft,102.95,126.96,Y
119,Home Product 00119,Home,Cleaning,TrueCraft,373.29,832.51,Y
120,Seasonal Product 00120,Seasonal,Heating,MaplePro,107.75,144.91,Y
121,Tools Product 00121,Tools,Accessories,FieldStone,145.14,258.28,Y
122,Building Materials Product 00122,Building Materials,Insulation,NorthPeak,23.02,35.24,Y
123,Plumbing Product 00123,Plumbing,Pipes,EverBuild,169.76,372.42,Y
124,Electrical Product 00124,Electrical,Lighting,NorthPeak,69.31,103.69,Y
125,Paint Product 00125,Paint,Supplies,TrueCraft,51.88,75.91,Y
126,Outdoor Product 00126,Outdoor,Patio,EverBuild,60.59,99.64,Y
127,Hardware Product 00127,Hardware,Locks,CedarMax,64.13,103.03,Y
128,Automotive Product 00128,Automotive,Fluids,IronWorks,283.89,507.55,Y
129,Home Product 00129,Home,Safety,WorkMate,198.83,374.27,Y
130,Seasonal Product 00130,Seasonal,Holiday,EverBuild,29.61,50.76,Y
131,Tools Product 00131,Tools,Hand Tools,HomeEdge,21.32,31.98,Y
132,Building Materials Product 00132,Building Materials,Lumber,UrbanFix,31.04,66.0,Y
133,Plumbing Product 00133,Plumbing,Water Heaters,NorthPeak,294.46,496.62,Y
134,Electrical Product 00134,Electrical,Switches,PrimeGear,294.09,466.94,Y
135,Paint Product 00135,Paint,Exterior Paint,FieldStone,330.99,586.33,Y
136,Outdoor Product 00136,Outdoor,Lawn & Garden,EverBuild,363.92,495.61,Y
137,Hardware Product 00137,Hardware,Adhesives,EverBuild,194.92,400.36,Y
138,Automotive Product 00138,Automotive,Towing,EverBuild,169.19,292.64,Y
139,Home Product 00139,Home,Cleaning,NorthPeak,235.71,285.26,Y
140,Seasonal Product 00140,Seasonal,Heating,WorkMate,340.99,560.56,Y
141,Tools Product 00141,Tools,Accessories,UrbanFix,336.58,606.62,Y
142,Building Materials Product 00142,Building Materials,Insulation,HomeEdge,385.7,529.4,Y
143,Plumbing Product 00143,Plumbing,Pipes,NorthPeak,441.11,963.58,Y
144,Electrical Product 00144,Electrical,Lighting,TrueCraft,99.97,147.71,Y
145,Paint Product 00145,Paint,Supplies,IronWorks,365.45,759.9,Y
146,Outdoor Product 00146,Outdoor,Patio,FieldStone,101.33,194.11,Y
147,Hardware Product 00147,Hardware,Locks,HomeEdge,200.23,385.15,Y
148,Automotive Product 00148,Automotive,Fluids,FieldStone,295.97,655.46,Y
149,Home Product 00149,Home,Safety,ProLine,13.29,20.12,Y
150,Seasonal Product 00150,Seasonal,Holiday,ProLine,165.57,306.72,Y
151,Tools Product 00151,Tools,Hand Tools,WorkMate,274.22,510.71,Y
152,Building Materials Product 00152,Building Materials,Lumber,WorkMate,313.94,695.69,Y
153,Plumbing Product 00153,Plumbing,Water Heaters,NorthPeak,49.03,86.59,Y
154,Electrical Product 00154,Electrical,Switches,NorthPeak,416.67,554.95,Y
155,Paint Product 00155,Paint,Exterior Paint,UrbanFix,384.17,692.58,Y
156,Outdoor Product 00156,Outdoor,Lawn & Garden,ProLine,332.13,557.19,Y
157,Hardware Product 00157,Hardware,Adhesives,HomeEdge,442.66,527.21,Y
158,Automotive Product 00158,Automotive,Towing,UrbanFix,157.73,218.08,Y
159,Home Product 00159,Home,Cleaning,WorkMate,319.29,562.56,Y
160,Seasonal Product 00160,Seasonal,Heating,ProLine,178.67,353.8,Y
161,Tools Product 00161,Tools,Accessories,PrimeGear,76.5,94.14,Y
162,Building Materials Product 00162,Building Materials,Insulation,NorthPeak,437.3,623.63,Y
163,Plumbing Product 00163,Plumbing,Pipes,CedarMax,224.15,474.58,Y
164,Electrical Product 00164,Electrical,Lighting,WorkMate,208.29,371.34,Y
165,Paint Product 00165,Paint,Supplies,MaplePro,361.6,618.04,Y
166,Outdoor Product 00166,Outdoor,Patio,HomeEdge,261.19,522.2,Y
167,Hardware Product 00167,Hardware,Locks,EverBuild,280.6,447.95,N
168,Automotive Product 00168,Automotive,Fluids,WorkMate,210.21,298.03,Y
169,Home Product 00169,Home,Safety,UrbanFix,175.52,364.77,Y
170,Seasonal Product 00170,Seasonal,Holiday,NorthPeak,349.99,605.17,Y
171,Tools Product 00171,Tools,Hand Tools,TrueCraft,376.36,544.46,Y
172,Building Materials Product 00172,Building Materials,Lumber,WorkMate,47.76,76.12,Y
173,Plumbing Product 00173,Plumbing,Water Heaters,WorkMate,116.52,222.56,Y
174,Electrical Product 00174,Electrical,Switches,UrbanFix,420.08,762.84,Y
175,Paint Product 00175,Paint,Exterior Paint,IronWorks,400.48,613.35,Y
176,Outdoor Product 00176,Outdoor,Lawn & Garden,HomeEdge,378.71,523.59,Y
177,Hardware Product 00177,Hardware,Adhesives,UrbanFix,148.75,212.29,Y
178,Automotive Product 00178,Automotive,Towing,PrimeGear,9.87,16.81,Y
179,Home Product 00179,Home,Cleaning,IronWorks,22.7,41.06,Y
180,Seasonal Product 00180,Seasonal,Heating,HomeEdge,248.59,428.15,Y
181,Tools Product 00181,Tools,Accessories,EverBuild,3.03,4.95,Y
182,Building Materials Product 00182,Building Materials,Insulation,MaplePro,388.43,751.55,Y
183,Plumbing Product 00183,Plumbing,Pipes,MaplePro,266.0,443.93,Y
184,Electrical Product 00184,Electrical,Lighting,ProLine,64.77,90.75,Y
185,Paint Product 00185,Paint,Supplies,UrbanFix,212.26,285.64,Y
186,Outdoor Product 00186,Outdoor,Patio,PrimeGear,271.12,332.73,Y
187,Hardware Product 00187,Hardware,Locks,WorkMate,130.19,178.17,Y
188,Automotive Product 00188,Automotive,Fluids,HomeEdge,366.87,797.86,Y
189,Home Product 00189,Home,Safety,PrimeGear,78.41,170.07,Y
190,Seasonal Product 00190,Seasonal,Holiday,PrimeGear,328.74,399.26,Y
191,Tools Product 00191,Tools,Hand Tools,HomeEdge,330.51,493.79,Y
192,Building Materials Product 00192,Building Materials,Lumber,WorkMate,306.96,606.49,Y
193,Plumbing Product 00193,Plumbing,Water Heaters,ProLine,407.94,654.4,Y
194,Electrical Product 00194,Electrical,Switches,ProLine,129.31,274.16,Y
195,Paint Product 00195,Paint,Exterior Paint,ProLine,211.52,286.89,Y
196,Outdoor Product 00196,Outdoor,Lawn & Garden,UrbanFix,141.7,281.27,Y
197,Hardware Product 00197,Hardware,Adhesives,UrbanFix,315.4,629.55,Y
198,Automotive Product 00198,Automotive,Towing,FieldStone,49.47,69.14,Y
199,Home Product 00199,Home,Cleaning,NorthPeak,230.82,452.62,Y
200,Seasonal Product 00200,Seasonal,Heating,PrimeGear,100.37,207.48,Y
201,Tools Product 00201,Tools,Accessories,UrbanFix,85.66,103.72,Y
202,Building Materials Product 00202,Building Materials,Insulation,EverBuild,152.44,287.03,Y
203,Plumbing Product 00203,Plumbing,Pipes,EverBuild,354.76,698.73,Y
204,Electrical Product 00204,Electrical,Lighting,FieldStone,3.44,5.66,Y
205,Paint Product 00205,Paint,Supplies,MaplePro,178.11,281.57,Y
206,Outdoor Product 00206,Outdoor,Patio,ProLine,84.92,149.57,Y
207,Hardware Product 00207,Hardware,Locks,WorkMate,430.73,637.26,Y
208,Automotive Product 00208,Automotive,Fluids,IronWorks,219.89,462.52,Y
209,Home Product 00209,Home,Safety,UrbanFix,239.95,503.03,Y
210,Seasonal Product 00210,Seasonal,Holiday,IronWorks,431.42,804.23,Y
211,Tools Product 00211,Tools,Hand Tools,CedarMax,257.94,494.75,Y
212,Building Materials Product 00212,Building Materials,Lumber,NorthPeak,144.03,242.5,Y
213,Plumbing Product 00213,Plumbing,Water Heaters,NorthPeak,56.39,91.72,Y
214,Electrical Product 00214,Electrical,Switches,WorkMate,239.38,286.34,Y
215,Paint Product 00215,Paint,Exterior Paint,EverBuild,81.01,144.52,Y
216,Outdoor Product 00216,Outdoor,Lawn & Garden,WorkMate,238.51,453.22,Y
217,Hardware Product 00217,Hardware,Adhesives,IronWorks,293.49,436.07,Y
218,Automotive Product 00218,Automotive,Towing,TrueCraft,358.22,546.16,N
219,Home Product 00219,Home,Cleaning,HomeEdge,52.93,118.35,Y
220,Seasonal Product 00220,Seasonal,Heating,MaplePro,229.91,381.75,Y
221,Tools Product 00221,Tools,Accessories,WorkMate,135.96,262.16,Y
222,Building Materials Product 00222,Building Materials,Insulation,FieldStone,206.04,304.11,Y
223,Plumbing Product 00223,Plumbing,Pipes,HomeEdge,23.08,32.28,Y
224,Electrical Product 00224,Electrical,Lighting,ProLine,89.65,195.47,Y
225,Paint Product 00225,Paint,Supplies,MaplePro,33.33,48.71,Y
226,Outdoor Product 00226,Outdoor,Patio,UrbanFix,415.59,697.87,Y
227,Hardware Product 00227,Hardware,Locks,UrbanFix,300.28,365.11,Y
228,Automotive Product 00228,Automotive,Fluids,NorthPeak,216.82,370.27,Y
229,Home Product 00229,Home,Safety,IronWorks,59.31,96.96,Y
230,Seasonal Product 00230,Seasonal,Holiday,PrimeGear,411.13,905.45,Y
231,Tools Product 00231,Tools,Hand Tools,PrimeGear,438.58,779.89,Y
232,Building Materials Product 00232,Building Materials,Lumber,TrueCraft,281.65,387.15,Y
233,Plumbing Product 00233,Plumbing,Water Heaters,IronWorks,62.07,116.59,Y
234,Electrical Product 00234,Electrical,Switches,TrueCraft,62.31,104.57,Y
235,Paint Product 00235,Paint,Exterior Paint,MaplePro,394.07,486.61,Y
236,Outdoor Product 00236,Outdoor,Lawn & Garden,TrueCraft,183.4,291.35,Y
237,Hardware Product 00237,Hardware,Adhesives,PrimeGear,74.72,135.93,Y
238,Automotive Product 00238,Automotive,Towing,PrimeGear,64.65,145.4,N
239,Home Product 00239,Home,Cleaning,CedarMax,299.18,353.98,Y
240,Seasonal Product 00240,Seasonal,Heating,TrueCraft,321.68,595.12,Y
241,Tools Product 00241,Tools,Accessories,WorkMate,109.03,236.84,Y
242,Building Materials Product 00242,Building Materials,Insulation,IronWorks,351.74,471.64,Y
243,Plumbing Product 00243,Plumbing,Pipes,WorkMate,82.73,185.44,Y
244,Electrical Product 00244,Electrical,Lighting,FieldStone,30.9,57.07,Y
245,Paint Product 00245,Paint,Supplies,NorthPeak,446.84,648.3,Y
246,Outdoor Product 00246,Outdoor,Patio,MaplePro,251.31,300.2,Y
247,Hardware Product 00247,Hardware,Locks,IronWorks,332.25,464.82,Y
248,Automotive Product 00248,Automotive,Fluids,UrbanFix,327.07,641.29,Y
249,Home Product 00249,Home,Safety,FieldStone,217.83,314.22,Y
250,Seasonal Product 00250,Seasonal,Holiday,WorkMate,127.59,201.44,Y
251,Tools Product 00251,Tools,Hand Tools,FieldStone,143.56,273.36,Y
252,Building Materials Product 00252,Building Materials,Lumber,TrueCraft,146.69,229.97,Y
253,Plumbing Product 00253,Plumbing,Water Heaters,ProLine,266.44,378.22,Y
254,Electrical Product 00254,Electrical,Switches,CedarMax,441.53,849.8,Y
255,Paint Product 00255,Paint,Exterior Paint,UrbanFix,188.26,229.58,Y
256,Outdoor Product 00256,Outdoor,Lawn & Garden,TrueCraft,96.48,201.17,Y
257,Hardware Product 00257,Hardware,Adhesives,HomeEdge,48.41,60.33,Y
258,Automotive Product 00258,Automotive,Towing,WorkMate,213.93,405.38,Y
259,Home Product 00259,Home,Cleaning,MaplePro,177.67,349.56,Y
260,Seasonal Product 00260,Seasonal,Heating,MaplePro,344.42,703.22,Y
261,Tools Product 00261,Tools,Accessories,MaplePro,229.41,352.67,Y
262,Building Materials Product 00262,Building Materials,Insulation,PrimeGear,4.48,6.26,Y
263,Plumbing Product 00263,Plumbing,Pipes,HomeEdge,302.04,474.69,Y
