CustomerID,CustomerSegment,JoinDate,Province,LoyaltyTier,ActiveFlag
1,DIY,2022-12-15,NB,Gold,Y
2,DIY,2019-10-29,BC,None,Y
3,DIY,2021-05-28,NS,None,Y
4,Small Business,2025-04-08,QC,None,Y
5,Loyalty,2025-07-28,ON,None,Y
6,Small Business,2022-09-21,AB,None,N
7,DIY,2022-08-30,ON,Bronze,Y
8,Trade,2024-01-18,AB,None,Y
9,DIY,2021-07-06,QC,None,Y
10,Loyalty,2019-03-23,AB,None,Y
11,DIY,2025-02-14,ON,Bronze,Y
12,Trade,2020-10-27,ON,Gold,Y
13,Small Business,2022-11-29,ON,Bronze,Y
14,DIY,2023-05-23,ON,None,Y
15,DIY,2024-11-07,AB,Bronze,Y
16,DIY,2020-08-12,ON,Gold,Y
17,Trade,2022-12-11,AB,None,Y
18,Trade,2020-05-26,AB,Silver,Y
19,DIY,2025-05-19,NS,Bronze,Y
20,Small Business,2020-03-22,ON,None,Y
21,Loyalty,2025-05-08,ON,Gold,Y
22,Contractor,2021-09-17,ON,None,Y
23,DIY,2022-03-03,BC,None,Y
24,Contractor,2020-01-03,QC,None,Y
25,DIY,2025-09-17,ON,Silver,Y
26,Trade,2019-05-20,BC,Bronze,Y
27,DIY,2019-07-21,QC,Silver,Y
28,Contractor,2021-04-13,ON,None,Y
29,DIY,2023-03-09,SK,Silver,Y
30,Loyalty,2020-11-18,QC,Bronze,Y
31,DIY,2024-01-06,ON,Bronze,N
32,Loyalty,2020-06-09,ON,Gold,Y
33,DIY,2020-06-14,ON,Bronze,Y
34,Contractor,2019-08-21,ON,None,Y
35,DIY,2022-04-05,ON,Gold,Y
36,Loyalty,2019-02-16,AB,None,Y
37,DIY,2019-10-29,ON,Gold,Y
38,Small Business,2019-10-28,QC,None,Y
39,DIY,2020-12-27,QC,Bronze,Y
40,Contractor,2020-11-17,AB,Gold,Y
41,DIY,2024-04-01,AB,Bronze,Y
42,Small Business,2025-04-07,BC,Bronze,Y
43,Trade,2023-10-11,AB,Bronze,Y
44,Loyalty,2023-07-16,QC,Bronze,Y
45,DIY,2024-03-28,NS,Gold,Y
46,Contractor,2022-06-01,ON,Silver,Y
47,Loyalty,2022-01-07,ON,Bronze,Y
48,Contractor,2022-03-15,AB,Silver,Y
49,Trade,2025-08-21,ON,Bronze,Y
50,DIY,2021-05-29,BC,Silver,Y
51,Contractor,2019-01-21,SK,None,Y
52,Contractor,2022-02-02,QC,Silver,Y
53,DIY,2021-04-18,ON,Silver,Y
54,DIY,2021-05-17,MB,Bronze,Y
55,DIY,2025-08-16,ON,None,Y
56,DIY,2023-11-09,QC,Bronze,Y
57,Trade,2023-09-12,ON,None,N
58,Trade,2023-12-14,ON,None,Y
59,DIY,2019-09-19,QC,None,Y
60,Small Business,2019-10-08,AB,None,Y
61,DIY,2022-10-17,ON,None,Y
62,Trade,2019-04-12,ON,Gold,Y
63,Contractor,2021-10-24,BC,Gold,Y
