StoreID,StoreName,City,Province,Region,StoreType,OpenDate
1,Store 0001,Ottawa,ON,Central,Corporate,2004-01-12
2,Store 0002,Halifax,NS,Atlantic,Dealer-Owned,2018-06-30
3,Store 0003,St. Johns,NL,Atlantic,Corporate,2003-06-16
4,Store 0004,Red Deer,AB,West,Corporate,2000-04-05
5,Store 0005,Hamilton,ON,Central,Dealer-Owned,2024-04-05
6,Store 0006,Ottawa,ON,Central,Dealer-Owned,2012-01-29
7,Store 0007,Montreal,QC,East,Dealer-Owned,2007-12-29
8,Store 0008,Halifax,NS,Atlantic,Corporate,2013-08-15
9,Store 0009,Sherbrooke,QC,East,Dealer-Owned,2003-03-05
10,Store 0010,Gatineau,QC,East,Dealer-Owned,2022-01-20
11,Store 0011,Vancouver,BC,West,Corporate,2010-04-20
12,Store 0012,Calgary,AB,West,Dealer-Owned,2008-09-27
13,Store 0013,Halifax,NS,Atlantic,Dealer-Owned,2018-02-13
14,Store 0014,Barrie,ON,Central,Dealer-Owned,2022-10-12
15,Store 0015,Barrie,ON,Central,Dealer-Owned,2017-09-28
16,Store 0016,Ottawa,ON,Central,Dealer-Owned,2008-05-27
17,Store 0017,Sherbrooke,QC,East,Corporate,2016-12-15
18,Store 0018,Winnipeg,MB,Prairies,Dealer-Owned,2019-06-11
19,Store 0019,Montreal,QC,East,Dealer-Owned,2018-09-20
20,Store 0020,Toronto,ON,Central,Dealer-Owned,2011-07-27
21,Store 0021,Red Deer,AB,West,Dealer-Owned,2010-02-04
22,Store 0022,Winnipeg,MB,Prairies,Dealer-Owned,2024-03-24
23,Store 0023,Hamilton,ON,Central,Dealer-Owned,2010-04-06
24,Store 0024,Ottawa,ON,Central,Dealer-Owned,2008-09-05
25,Store 0025,Calgary,AB,West,Dealer-Owned,2021-06-29
26,Store 0026,Richmond,BC,West,Dealer-Owned,2016-08-07
27,Store 0027,Montreal,QC,East,Dealer-Owned,2022-12-16
28,Store 0028,Kitchener,ON,Central,Dealer-Owned,2021-03-11
29,Store 0029,Burnaby,BC,West,Dealer-Owned,2000-05-16
30,Store 0030,London,ON,Central,Dealer-Owned,2009-02-10
31,Store 0031,Laval,QC,East,Corporate,2003-03-29
32,Store 0032,London,ON,Central,Dealer-Owned,2023-04-03
33,Store 0033,Winnipeg,MB,Prairies,Dealer-Owned,2001-12-30
34,Store 0034,Calgary,AB,West,Dealer-Owned,2000-12-03
35,Store 0035,London,ON,Central,Corporate,2024-04-05
36,Store 0036,Winnipeg,MB,Prairies,Dealer-Owned,2011-10-30
37,Store 0037,Toronto,ON,Central,Corporate,2009-02-06
38,Store 0038,Edmonton,AB,West,Dealer-Owned,2012-05-01
39,Store 0039,Victoria,BC,West,Dealer-Owned,2012-04-18
40,Store 0040,Montreal,QC,East,Dealer-Owned,2000-05-24
41,Store 0041,Edmonton,AB,West,Dealer-Owned,2024-07-15
42,Store 0042,Regina,SK,Prairies,Dealer-Owned,2002-07-14
43,Store 0043,Edmonton,AB,West,Dealer-Owned,2003-03-17
44,Store 0044,Saskatoon,SK,Prairies,Dealer-Owned,2022-11-15
45,Store 0045,Charlottetown,PE,Atlantic,Dealer-Owned,2005-02-06
46,Store 0046,Kitchener,ON,Central,Dealer-Owned,2006-04-25
47,Store 0047,London,ON,Central,Dealer-Owned,2016-06-03
48,Store 0048,Calgary,AB,West,Dealer-Owned,2015-05-12
49,Store 0049,Windsor,ON,Central,Dealer-Owned,2000-04-20
50,Store 0050,Winnipeg,MB,Prairies,Dealer-Owned,2011-05-12
51,Store 0051,Gatineau,QC,East,Corporate,2006-02-01
52,Store 0052,Kingston,ON,Central,Dealer-Owned,2005-07-29
53,Store 0053,Saskatoon,SK,Prairies,Dealer-Owned,2018-09-23
54,Store 0054,Kingston,ON,Central,Dealer-Owned,2021-11-07
55,Store 0055,Saskatoon,SK,Prairies,Dealer-Owned,2024-08-08
56,Store 0056,Kingston,ON,Central,Dealer-Owned,2017-03-07
57,Store 0057,Montreal,QC,East,Corporate,2002-11-19
58,Store 0058,Gatineau,QC,East,Dealer-Owned,2001-09-16
59,Store 0059,Red Deer,AB,West,Dealer-Owned,2001-12-01
60,Store 0060,Brandon,MB,Prairies,Dealer-Owned,2024-01-18
61,Store 0061,Burnaby,BC,West,Dealer-Owned,2010-11-07
62,Store 0062,Gatineau,QC,East,Dealer-Owned,2008-12-08
63,Store 0063,Brandon,MB,Prairies,Dealer-Owned,2024-04-11
64,Store 0064,Gatineau,QC,East,Dealer-Owned,2012-12-24
65,Store 0065,Hamilton,ON,Central,Dealer-Owned,2000-12-05
66,Store 0066,Laval,QC,East,Dealer-Owned,2021-04-19
67,Store 0067,London,ON,Central,Dealer-Owned,2005-04-09
68,Store 0068,Montreal,QC,East,Dealer-Owned,2011-07-25
69,Store 0069,Gatineau,QC,East,Dealer-Owned,2004-04-05
70,Store 0070,Montreal,QC,East,Corporate,2023-09-23
71,Store 0071,Ottawa,ON,Central,Dealer-Owned,2018-05-27
72,Store 0072,London,ON,Central,Dealer-Owned,2004-05-30
73,Store 0073,Gatineau,QC,East,Dealer-Owned,2023-10-23
74,Store 0074,Victoria,BC,West,Corporate,2009-02-10
75,Store 0075,Richmond,BC,West,Dealer-Owned,2017-06-16
76,Store 0076,Sherbrooke,QC,East,Dealer-Owned,2017-03-11
77,Store 0077,Toronto,ON,Central,Dealer-Owned,2006-12-05
78,Store 0078,Barrie,ON,Central,Dealer-Owned,2019-09-24
79,Store 0079,Edmonton,AB,West,Dealer-Owned,2016-03-12
80,Store 0080,Toronto,ON,Central,Dealer-Owned,2017-02-06
81,Store 0081,Kingston,ON,Central,Dealer-Owned,2013-12-13
82,Store 0082,Quebec City,QC,East,Dealer-Owned,2000-10-19
83,Store 0083,Sydney,NS,Atlantic,Dealer-Owned,2020-03-22
84,Store 0084,Montreal,QC,East,Dealer-Owned,2011-03-27
85,Store 0085,Laval,QC,East,Corporate,2004-10-01
86,Store 0086,Montreal,QC,East,Dealer-Owned,2007-11-08
87,Store 0087,Moncton,NB,Atlantic,Dealer-Owned,2020-05-20
88,Store 0088,Brandon,MB,Prairies,Dealer-Owned,2020-10-01
89,Store 0089,Sherbrooke,QC,East,Dealer-Owned,2016-07-18
90,Store 0090,Hamilton,ON,Central,Dealer-Owned,2011-03-19
91,Store 0091,Corner Brook,NL,Atlantic,Dealer-Owned,2003-03-07
92,Store 0092,Ottawa,ON,Central,Dealer-Owned,2003-12-13
93,Store 0093,Hamilton,ON,Central,Corporate,2017-02-27
94,Store 0094,Laval,QC,East,Dealer-Owned,2016-02-07
95,Store 0095,Winnipeg,MB,Prairies,Corporate,2012-05-26
96,Store 0096,London,ON,Central,Dealer-Owned,2021-11-10
97,Store 0097,Saskatoon,SK,Prairies,Dealer-Owned,2022-07-11
98,Store 0098,Halifax,NS,Atlantic,Corporate,2019-08-29
99,Store 0099,Kitchener,ON,Central,Dealer-Owned,2015-06-25
100,Store 0100,Saint John,NB,Atlantic,Dealer-Owned,2015-11-21
101,Store 0101,Quebec City,QC,East,Dealer-Owned,2021-03-22
102,Store 0102,Kingston,ON,Central,Dealer-Owned,2003-01-23
103,Store 0103,Gatineau,QC,East,Dealer-Owned,2014-02-07
104,Store 0104,Hamilton,ON,Central,Dealer-Owned,2003-03-12
105,Store 0105,Lethbridge,AB,West,Dealer-Owned,2010-12-05
106,Store 0106,Ottawa,ON,Central,Dealer-Owned,2015-10-10
107,Store 0107,Brandon,MB,Prairies,Corporate,2015-06-26
108,Store 0108,London,ON,Central,Dealer-Owned,2004-12-20
109,Store 0109,Kelowna,BC,West,Dealer-Owned,2021-07-26
110,Store 0110,Vancouver,BC,West,Dealer-Owned,2010-11-13
111,Store 0111,Hamilton,ON,Central,Dealer-Owned,2023-09-28
112,Store 0112,Sherbrooke,QC,East,Dealer-Owned,2001-08-02
113,Store 0113,Moncton,NB,Atlantic,Dealer-Owned,2001-05-08
114,Store 0114,Fredericton,NB,Atlantic,Dealer-Owned,2008-09-06
115,Store 0115,Vancouver,BC,West,Dealer-Owned,2006-07-12
116,Store 0116,Lethbridge,AB,West,Dealer-Owned,2018-12-18
117,Store 0117,Saskatoon,SK,Prairies,Corporate,2018-07-14
118,Store 0118,Gatineau,QC,East,Dealer-Owned,2019-12-12
119,Store 0119,Lethbridge,AB,West,Dealer-Owned,2020-03-23
120,Store 0120,Hamilton,ON,Central,Dealer-Owned,2022-01-11
121,Store 0121,Laval,QC,East,Dealer-Owned,2010-11-03
122,Store 0122,Saskatoon,SK,Prairies,Dealer-Owned,2023-06-20
123,Store 0123,Brandon,MB,Prairies,Dealer-Owned,2009-05-23
124,Store 0124,Quebec City,QC,East,Dealer-Owned,2021-03-06
125,Store 0125,Calgary,AB,West,Dealer-Owned,2003-09-21
126,Store 0126,Lethbridge,AB,West,Corporate,2017-05-04
127,Store 0127,Regina,SK,Prairies,Dealer-Owned,2010-08-16
128,Store 0128,Kingston,ON,Central,Dealer-Owned,2006-08-01
129,Store 0129,Sherbrooke,QC,East,Dealer-Owned,2017-05-24
130,Store 0130,Montreal,QC,East,Corporate,2007-03-10
131,Store 0131,Brandon,MB,Prairies,Dealer-Owned,2015-06-02
132,Store 0132,Quebec City,QC,East,Dealer-Owned,2006-10-19
133,Store 0133,Toronto,ON,Central,Corporate,2012-02-13
134,Store 0134,Kitchener,ON,Central,Dealer-Owned,2024-11-03
135,Store 0135,Gatineau,QC,East,Dealer-Owned,2013-03-11
136,Store 0136,St. Johns,NL,Atlantic,Dealer-Owned,2003-03-02
137,Store 0137,Saskatoon,SK,Prairies,Dealer-Owned,2017-05-01
138,Store 0138,Ottawa,ON,Central,Dealer-Owned,2014-06-01
139,Store 0139,London,ON,Central,Corporate,2020-06-16
140,Store 0140,Halifax,NS,Atlantic,Dealer-Owned,2003-02-06
141,Store 0141,Barrie,ON,Central,Dealer-Owned,2019-12-14
142,Store 0142,Kelowna,BC,West,Dealer-Owned,2016-12-16
143,Store 0143,Toronto,ON,Central,Dealer-Owned,2009-11-23
144,Store 0144,Kitchener,ON,Central,Dealer-Owned,2018-11-26
145,Store 0145,Edmonton,AB,West,Dealer-Owned,2010-05-05
146,Store 0146,Red Deer,AB,West,Dealer-Owned,2011-10-27
147,Store 0147,Lethbridge,AB,West,Dealer-Owned,2000-08-15
148,Store 0148,Laval,QC,East,Corporate,2009-12-21
149,Store 0149,Calgary,AB,West,Corporate,2012-11-20
150,Store 0150,Halifax,NS,Atlantic,Dealer-Owned,2021-02-26
151,Store 0151,Surrey,BC,West,Dealer-Owned,2012-10-16
