TransactionID,StoreID,ProductID,CustomerID,TransactionDate,Quantity,UnitPrice,Discount,SalesAmount,PaymentMethod,Channel,LastModifiedDate,SourceSystem
1,796,760.0,295436.0,2025-01-30,5,5.61,2.8,25.25,Debit,Store,2025-01-30,POS
2,122,31118.0,73181.0,2025-01-31,5,11.57,0.0,57.85,Cash,Online,2025-01-31,POS
3,319,35878.0,243881.0,2025-01-21,1,68.64,0.0,68.64,Debit,Store,2025-01-21,POS
4,441,30534.0,248974.0,2025-01-20,2,23.37,0.0,46.74,Credit,Store,2025-01-26,POS
5,596,41411.0,361676.0,2025-01-15,5,14.92,3.73,70.87,Credit,Store,2025-01-15,POS
6,608,38932.0,404983.0,2025-01-21,2,122.63,0.0,245.26,Debit,Store,2025-03-01,POS
7,192,14563.0,,2025-01-17,2,110.97,11.1,210.84,Cash,Store,2025-01-17,POS
8,393,9822.0,,2025-01-25,2,20.04,0.0,40.08,Mobile Wallet,Online,2025-02-25,POS
9,605,25469.0,78317.0,2025-01-21,1,21.35,1.07,20.28,Credit,Store,2025-01-21,POS
10,570,48256.0,,2025-01-24,5,114.22,57.11,513.99,Debit,Store,2025-01-24,POS
11,714,9718.0,312275.0,2025-01-17,1,38.07,0.0,38.07,Credit,Store,2025-01-17,POS
12,376,1415.0,119693.0,2025-01-08,4,32.11,0.0,128.44,Debit,Store,2025-01-31,POS
13,150,1339.0,134802.0,2025-01-28,4,38.77,0.0,155.08,Credit,Store,2025-02-27,POS
14,564,31297.0,55059.0,2025-01-21,3,44.16,0.0,132.48,Credit,Store,2025-01-21,POS
15,651,33635.0,242938.0,2025-01-25,4,36.19,0.0,144.76,Debit,Store,2025-01-25,POS
16,540,27469.0,460343.0,2025-01-27,2,66.19,0.0,132.38,Mobile Wallet,Store,2025-03-05,POS
17,456,14759.0,403005.0,2025-01-15,1,37.5,0.0,37.5,Debit,Store,2025-01-15,POS
18,697,24203.0,211676.0,2025-01-12,2,27.54,0.0,55.08,Debit,Store,2025-01-12,POS
19,540,49677.0,184525.0,2025-01-02,4,26.92,0.0,107.68,Mobile Wallet,Store,2025-01-02,POS
20,726,3139.0,61036.0,2025-01-16,5,25.98,0.0,129.9,Debit,Store,2025-02-10,POS
21,299,34260.0,,2025-01-04,5,12.65,0.0,63.25,Cash,Store,2025-01-29,POS
22,797,45922.0,7999.0,2025-01-09,2,22.94,4.59,41.29,Credit,Store,2025-01-09,POS
23,594,35931.0,289594.0,2025-01-04,2,28.94,0.0,57.88,Debit,Online,2025-01-25,POS
24,398,35523.0,31143.0,2025-01-01,1,29.8,1.49,28.31,Gift Card,Store,2025-01-01,POS
25,94,16334.0,,2025-01-28,1,76.21,7.62,68.59,Debit,Store,2025-01-28,POS
